topology,nodes,edges,k_avg,k_min,k_max,k_variance,d,d_norm,aspl,acc,assort,core_max,ktruss_max,peak_day,Y_peak_day,peak_cases,fraction_peak_cases,span,Y_span,time_network,time_epidemic
R,181505,2541070,28,6,56,28.141,0.0002,0.231174007,3.740076391,0.0002,-0.001,20,3,25,0.0685,97921,0.5395,171,0.4685,32.3817,506.512
R,181505,1089030,12,1,32,11.9984,0.0001,0.156953095,4.886712518,0.0001,-0.0012,8,3,40,0.1096,88122,0.4855,178,0.4877,11.8678,324.9064
R,181505,1542792,17,2,38,17.0772,0.0001,0.187463754,4.32528079,0.0001,0.0008,12,3,32,0.0877,93765,0.5166,176,0.4822,17.2916,374.3663
R,181505,2722575,30,10,60,29.9768,0.0002,0.237217588,3.673873932,0.0002,0.0008,21,3,25,0.0685,98325,0.5417,178,0.4877,34.6576,530.6021
R,181505,2359565,26,4,52,26.1061,0.0001,0.224682356,3.81463031,0.0001,0.0001,18,3,26,0.0712,97491,0.5371,171,0.4685,27.9595,484.9402
R,181505,3539347,39,14,70,38.9615,0.0002,0.260199948,3.447093848,0.0002,0.0008,29,3,22,0.0603,99598,0.5487,162,0.4438,45.0158,631.7081
R,181505,2178060,24,6,50,23.9419,0.0001,0.21767084,3.899453957,0.0001,0.0005,17,3,27,0.074,96952,0.5342,168,0.4603,26.6155,465.7281
R,181505,1179782,13,1,33,13.0011,0.0001,0.163964574,4.743178891,0.0001,-0.0004,9,3,38,0.1041,89551,0.4934,181,0.4959,12.423,328.0085
R,181505,907525,10,0,26,10.0108,0.0001,0.140982239,5.253443026,0.0001,-0.0024,7,3,45,0.1233,84527,0.4657,191,0.5233,9.1223,293.6954
R,181505,3267090,36,11,67,35.9829,0.0002,0.253188444,3.512395951,0.0002,-0.0001,26,3,23,0.063,99245,0.5468,167,0.4575,43.1001,610.1198
R,188716,3491246,37,14,68,36.9731,0.0002,0.254719214,3.497864939,0.0002,0.0012,27,3,22,0.0603,103091,0.5463,165,0.4521,45.0471,640.4972
R,188716,849222,9,0,27,9.0001,0,0.131304838,5.507083144,0,-0.0004,6,3,48,0.1315,85496,0.453,193,0.5288,9.4705,294.736
R,188716,1981518,21,4,45,20.973,0.0001,0.205273311,4.061468388,0.0001,-0.0007,15,3,29,0.0795,99712,0.5284,177,0.4849,23.5375,443.249
